label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1207_2	d19_1207_1	12	0.801736	0.924835	0.849126	0.843099	0.855153	0.451732	36860
0.03	d11_1207_3	d19_1207_1	15	0.832589	0.930454	0.803151	0.795563	0.810738	0.435485	43868
0.03	d11_1207_4	d19_1207_1	9	0.809641	0.90942	0.791975	0.783883	0.800066	0.428352	38254
0.03	d11_1268_1	d19_1207_1	9	0.984815	0.919991	0.985046	0.983325	0.986767	0.648254	40304
0.03	d11_1268_2	d19_1207_1	8	0.987712	0.90679	0.985024	0.983301	0.986747	0.648276	50457
0.03	d11_1269_1	d19_1207_1	8	0.878648	0.906827	0.8041	0.796438	0.811763	0.422073	59892
0.03	d11_1269_2	d19_1207_1	6	0.8545	0.902185	0.798335	0.79045	0.806221	0.427957	49897
0.03	d11_1270_1	d19_1207_1	4	0.916902	0.919316	0.824842	0.817599	0.832086	0.46554	67511
0.03	d11_1270_2	d19_1207_1	8	0.833348	0.931369	0.827043	0.8199	0.834185	0.460241	33867
0.03	d11_1271_1	d19_1207_1	4	0.873333	0.910661	0.837728	0.831138	0.844318	0.476636	44163
0.03	d11_1271_2	d19_1207_1	5	0.882914	0.909387	0.860516	0.854819	0.866213	0.486725	47845
0.03	d19_1203_1	d19_1207_1	11	0.616272	0.941846	0.615926	0.603674	0.628177	0.299182	31220
0.03	d19_1203_2	d19_1207_1	13	0.596274	0.909134	0.624113	0.612055	0.636172	0.364549	31566
0.03	d19_1203_3	d19_1207_1	16	0.559579	0.932869	0.496581	0.48369	0.509471	0.253823	38940
0.03	d19_1203_4	d19_1207_1	15	0.563157	0.925871	0.489463	0.476341	0.502586	0.244273	39204
0.03	d11_1203_1	d19_1207_2A	7	0.851335	0.958972	0.89793	0.893679	0.90218	0.527928	36283
0.03	d11_1203_2	d19_1207_2A	5	0.780752	0.948482	0.815879	0.809002	0.822756	0.468169	31681
0.03	d11_1203_3	d19_1207_2A	7	0.756802	0.955482	0.75537	0.746277	0.764462	0.437742	27969
0.03	d11_1203_4	d19_1207_2A	6	0.821604	0.954259	0.861984	0.856485	0.867483	0.50079	33577
0.03	d11_1207_1	d19_1207_2A	6	0.838454	0.948512	0.866562	0.86085	0.872274	0.508119	31669
0.03	d11_1207_2	d19_1207_2A	8	0.806789	0.95441	0.843671	0.837612	0.84973	0.488403	32876
0.03	d11_1207_3	d19_1207_2A	6	0.813309	0.948565	0.867237	0.862493	0.871981	0.506789	39884
0.03	d11_1207_4	d19_1207_2A	6	0.845287	0.941776	0.888092	0.883357	0.892827	0.519491	34270
0.03	d11_1268_1	d19_1207_2A	8	0.521586	0.956767	0.270588	0.259009	0.282167	0.139471	36320
0.03	d11_1268_2	d19_1207_2A	8	0.62589	0.946483	0.270039	0.258455	0.281623	0.139613	46473
0.03	d11_1269_1	d19_1207_2A	5	0.88016	0.939309	0.942726	0.9406	0.944853	0.567536	55908
0.03	d11_1269_2	d19_1207_2A	4	0.681223	0.937049	0.800233	0.794757	0.805709	0.442826	45913
0.03	d11_1270_1	d19_1207_2A	3	0.726667	0.95549	0.845039	0.841352	0.848726	0.439702	63527
0.03	d11_1270_2	d19_1207_2A	8	0.744872	0.969662	0.849796	0.843877	0.855716	0.437397	29883
0.03	d11_1271_1	d19_1207_2A	5	0.567585	0.952035	0.658916	0.650718	0.667115	0.342218	40179
0.03	d11_1271_2	d19_1207_2A	4	0.603885	0.94624	0.526404	0.517324	0.535484	0.298309	43861
0.03	d19_1203_1	d19_1207_2A	6	0.891834	0.96849	0.930689	0.926698	0.93468	0.522518	27236
0.03	d19_1203_2	d19_1207_2A	6	0.970778	0.932667	0.975362	0.972856	0.977868	0.628098	27582
0.03	d19_1203_3	d19_1207_2A	6	0.897528	0.948673	0.927279	0.923648	0.93091	0.552016	34956
0.03	d19_1203_4	d19_1207_2A	5	0.945372	0.941755	0.968399	0.966276	0.970521	0.600917	35220
0.03	d19_1207_1	d19_1207_2A	9	0.973142	0.92864	0.980608	0.978636	0.982581	0.635639	30680
0.03	d11_1203_1	d19_1207_2B	9	0.614114	0.957767	0.625061	0.615076	0.635047	0.348614	39421
0.03	d11_1203_2	d19_1207_2B	9	0.518424	0.952019	0.586732	0.576001	0.597463	0.331477	34819
0.03	d11_1203_3	d19_1207_2B	6	0.551676	0.947306	0.619794	0.608706	0.630882	0.345477	31107
0.03	d11_1203_4	d19_1207_2B	8	0.569222	0.95317	0.613945	0.603657	0.624233	0.345879	36715
0.03	d11_1207_1	d19_1207_2B	6	0.570833	0.94267	0.584429	0.573371	0.595487	0.347617	34807
0.03	d11_1207_2	d19_1207_2B	9	0.558672	0.950832	0.693872	0.684792	0.702951	0.372133	36014
0.03	d11_1207_3	d19_1207_2B	7	0.598949	0.945069	0.593047	0.58283	0.603263	0.34707	43022
0.03	d11_1207_4	d19_1207_2B	7	0.596076	0.938124	0.560668	0.549325	0.57201	0.332295	37408
0.03	d11_1268_1	d19_1207_2B	7	0.808302	0.948335	0.771309	0.763439	0.779178	0.396786	39458
0.03	d11_1268_2	d19_1207_2B	8	0.847252	0.940397	0.771003	0.763122	0.778884	0.396278	49611
0.03	d11_1269_1	d19_1207_2B	6	0.720354	0.935722	0.604841	0.594259	0.615423	0.331349	59046
0.03	d11_1269_2	d19_1207_2B	7	0.64596	0.938215	0.472082	0.460053	0.48411	0.274642	49051
0.03	d11_1270_1	d19_1207_2B	6	0.739533	0.9568	0.503313	0.491047	0.515578	0.226089	66665
0.03	d11_1270_2	d19_1207_2B	7	0.473608	0.961437	0.51283	0.500199	0.525461	0.221971	33021
